strategy,symbol,hour,n,wins,total,avg,hit
rsi2_extreme_reversion,ES,9,5,1,16112.600000000002,3222.5200000000004,20.0
rsi2_extreme_reversion,CL,23,11,3,15589.225329589843,1417.2023026899858,27.27272727272727
gap_fill,ZB,0,147,103,9301.241071428612,63.273748785228655,70.06802721088435
rsi2_extreme_reversion,ES,1,13,1,8930.099999999999,686.9307692307691,7.6923076923076925
gap_fill,ZB,19,135,93,8289.017857142919,61.400132275132734,68.88888888888889
rsi2_extreme_reversion,NG,0,13,3,8237.205569458009,633.6311976506161,23.076923076923077
gap_fill,ZB,1,179,110,8031.008928571743,44.865971667998565,61.452513966480446
rsi2_extreme_reversion,ES,7,10,2,7809.800000000001,780.9800000000001,20.0
rsi2_extreme_reversion,CL,21,6,1,7521.999694824219,1253.6666158040364,16.666666666666664
gap_fill,ZB,22,114,77,6387.883928571601,56.034069548873696,67.54385964912281
rsi2_extreme_reversion,NG,11,18,2,5348.807095336914,297.15594974093966,11.11111111111111
gap_fill,ZB,23,123,75,5245.544642857153,42.64670441347279,60.97560975609756
rsi2_extreme_reversion,NQ,7,6,1,4817.4,802.9,16.666666666666664
rsi2_extreme_reversion,GC,1,6,1,4447.29765625,741.2162760416667,16.666666666666664
rsi2_extreme_reversion,ES,4,8,1,4026.1000000000004,503.26250000000005,12.5
rsi2_extreme_reversion,CL,0,9,1,3724.401831054687,413.822425672743,11.11111111111111
gap_fill,NG,18,26,13,3551.0349439893553,136.57826707651367,50.0
fair_value_gap,6E,22,91,44,3474.497718228506,38.18129360690666,48.35164835164835
gap_fill,ZB,6,43,31,3441.55,80.03604651162792,72.09302325581395
support_resistance_bounce,6E,18,7,7,3338.117956542969,476.8739937918527,100.0
support_resistance_bounce,ES,20,7,4,3284.7000000000003,469.2428571428572,57.14285714285714
support_resistance_bounce,ZB,13,6,3,3185.803571428555,530.9672619047592,50.0
gap_fill,6E,18,21,10,3103.9758249079387,147.80837261466374,47.61904761904761
rsi2_extreme_reversion,6E,9,23,5,3090.819454956055,134.38345456330674,21.73913043478261
gap_fill,ZB,18,57,36,2869.6232142857793,50.34426691729438,63.1578947368421
support_resistance_bounce,NQ,19,6,1,2860.1285714285505,476.68809523809176,16.666666666666664
gap_fill,ZB,5,38,24,2843.5803571429183,74.8310620300768,63.1578947368421
support_resistance_bounce,NG,9,24,7,2821.4181937354047,117.55909140564187,29.166666666666668
donchian_breakout,6E,0,7,3,2806.1195336342025,400.8742190906004,42.857142857142854
pivot_reversal,6E,7,65,30,2757.218381033177,42.41874432358734,46.15384615384615
rsi2_extreme_reversion,6E,5,21,5,2638.027585029602,125.6203611918858,23.809523809523807
keltner_breakout,6E,3,32,19,2570.390739226397,80.3247106008249,59.375
rsi2_extreme_reversion,CL,12,7,1,2476.417395019531,353.7739135742187,14.285714285714285
gap_fill,ZB,3,54,30,2448.419642857224,45.341104497356,55.55555555555556
liquidity_sweep,6E,10,78,35,2441.378220881239,31.299720780528705,44.871794871794876
pivot_reversal,6E,18,39,21,2431.005085808906,62.3334637386899,53.84615384615385
pivot_reversal,6E,10,50,24,2399.5618140256724,47.99123628051345,48.0
fair_value_gap,6E,0,111,52,2365.357064884006,21.309523107063118,46.846846846846844
liquidity_sweep,CL,19,19,13,2348.1737919398633,123.58809431262439,68.42105263157895
order_block,ZB,19,21,14,2343.918750000057,111.61517857143129,66.66666666666666
gap_fill,ZN,22,89,69,2339.446428571459,26.285914927769202,77.52808988764045
fair_value_gap,NG,14,50,25,2291.3546331541884,45.82709266308377,50.0
gap_fill,ZB,21,78,45,2251.883928571317,28.870306776555346,57.692307692307686
rsi2_extreme_reversion,CL,6,12,1,2230.013732910156,185.83447774251297,8.333333333333332
