strategy,symbol,p_bb_std,p_sma_period,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
bollinger_mean_reversion,ZN,1.5,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,2.0,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,2.5,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,1.5,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,2.0,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,2.5,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,1.5,40.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,2.0,40.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,ZN,2.5,40.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,1.5,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,2.0,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,2.5,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,1.5,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,2.0,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,2.5,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,1.5,40.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,2.0,40.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,MNQ,2.5,40.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,GC,1.5,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,GC,2.0,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,GC,2.5,10.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,GC,1.5,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,GC,2.0,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
bollinger_mean_reversion,GC,2.5,20.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
