strategy,symbol,p_min_gap_atr,p_rr_target,n_trades_total,train_n,train_hit,train_e,train_t,oos_n,oos_hit,oos_e,oos_t
gap_fill,ZN,0.5,1.0,0,,,,,,,,
gap_fill,ZN,0.5,1.25,0,,,,,,,,
gap_fill,ZN,0.5,1.5,816,525,0.6419,0.8743,12.7085,291,0.6735,1.0412,11.8253
gap_fill,ZN,0.5,2.0,263,131,0.6565,1.3458,7.1825,132,0.6591,1.2532,8.3650
gap_fill,ZN,0.75,1.0,816,525,0.6419,0.8743,12.7085,291,0.6735,1.0412,11.8253
gap_fill,ZN,0.75,1.25,816,525,0.6419,0.8743,12.7085,291,0.6735,1.0412,11.8253
gap_fill,ZN,0.75,1.5,816,525,0.6419,0.8743,12.7085,291,0.6735,1.0412,11.8253
gap_fill,ZN,0.75,2.0,263,131,0.6565,1.3458,7.1825,132,0.6591,1.2532,8.3650
gap_fill,ZN,1.0,1.0,263,131,0.6565,1.3458,7.1825,132,0.6591,1.2532,8.3650
gap_fill,ZN,1.0,1.25,263,131,0.6565,1.3458,7.1825,132,0.6591,1.2532,8.3650
gap_fill,ZN,1.0,1.5,263,131,0.6565,1.3458,7.1825,132,0.6591,1.2532,8.3650
gap_fill,ZN,1.0,2.0,263,131,0.6565,1.3458,7.1825,132,0.6591,1.2532,8.3650
gap_fill,ZN,1.5,1.0,26,17,0.5882,2.8373,2.7252,9,0.7778,3.0093,3.4636
gap_fill,ZN,1.5,1.25,26,17,0.5882,2.8373,2.7252,9,0.7778,3.0093,3.4636
gap_fill,ZN,1.5,1.5,26,17,0.5882,2.8373,2.7252,9,0.7778,3.0093,3.4636
gap_fill,ZN,1.5,2.0,26,17,0.5882,2.8373,2.7252,9,0.7778,3.0093,3.4636
gap_fill,ZT,0.5,1.0,2361,1577,0.5612,0.5512,13.7875,784,0.6097,0.7427,13.1264
gap_fill,ZT,0.5,1.25,1611,1041,0.5898,0.8005,14.7630,570,0.6491,0.9967,14.2305
gap_fill,ZT,0.5,1.5,1067,665,0.6331,1.1313,15.1750,402,0.6692,1.2338,13.8131
gap_fill,ZT,0.5,2.0,585,357,0.6723,1.6004,13.6887,228,0.7018,1.6451,12.4935
gap_fill,ZT,0.75,1.0,1067,665,0.6331,1.1313,15.1750,402,0.6692,1.2338,13.8131
gap_fill,ZT,0.75,1.25,1067,665,0.6331,1.1313,15.1750,402,0.6692,1.2338,13.8131
gap_fill,ZT,0.75,1.5,1067,665,0.6331,1.1313,15.1750,402,0.6692,1.2338,13.8131
gap_fill,ZT,0.75,2.0,585,357,0.6723,1.6004,13.6887,228,0.7018,1.6451,12.4935
gap_fill,ZT,1.0,1.0,585,357,0.6723,1.6004,13.6887,228,0.7018,1.6451,12.4935
gap_fill,ZT,1.0,1.25,585,357,0.6723,1.6004,13.6887,228,0.7018,1.6451,12.4935
gap_fill,ZT,1.0,1.5,585,357,0.6723,1.6004,13.6887,228,0.7018,1.6451,12.4935
gap_fill,ZT,1.0,2.0,585,357,0.6723,1.6004,13.6887,228,0.7018,1.6451,12.4935
gap_fill,ZT,1.5,1.0,154,99,0.6768,2.5385,8.0394,55,0.7455,2.8038,7.7932
gap_fill,ZT,1.5,1.25,154,99,0.6768,2.5385,8.0394,55,0.7455,2.8038,7.7932
gap_fill,ZT,1.5,1.5,154,99,0.6768,2.5385,8.0394,55,0.7455,2.8038,7.7932
gap_fill,ZT,1.5,2.0,154,99,0.6768,2.5385,8.0394,55,0.7455,2.8038,7.7932
gap_fill,ZB,0.5,1.0,2871,2027,0.5639,0.4722,15.1087,844,0.5604,0.5632,10.9771
gap_fill,ZB,0.5,1.25,1890,1290,0.5845,0.6768,15.8232,600,0.5767,0.7524,11.5427
gap_fill,ZB,0.5,1.5,1232,798,0.6128,0.9222,15.5897,434,0.5899,0.9270,11.4042
gap_fill,ZB,0.5,2.0,629,373,0.6381,1.2998,13.0484,256,0.6094,1.2144,10.5151
gap_fill,ZB,0.75,1.0,1232,798,0.6128,0.9222,15.5897,434,0.5899,0.9270,11.4042
gap_fill,ZB,0.75,1.25,1232,798,0.6128,0.9222,15.5897,434,0.5899,0.9270,11.4042
gap_fill,ZB,0.75,1.5,1232,798,0.6128,0.9222,15.5897,434,0.5899,0.9270,11.4042
gap_fill,ZB,0.75,2.0,629,373,0.6381,1.2998,13.0484,256,0.6094,1.2144,10.5151
gap_fill,ZB,1.0,1.0,629,373,0.6381,1.2998,13.0484,256,0.6094,1.2144,10.5151
gap_fill,ZB,1.0,1.25,629,373,0.6381,1.2998,13.0484,256,0.6094,1.2144,10.5151
gap_fill,ZB,1.0,1.5,629,373,0.6381,1.2998,13.0484,256,0.6094,1.2144,10.5151
gap_fill,ZB,1.0,2.0,629,373,0.6381,1.2998,13.0484,256,0.6094,1.2144,10.5151
gap_fill,ZB,1.5,1.0,124,63,0.6032,2.0967,5.6628,61,0.6885,2.1046,7.5993
gap_fill,ZB,1.5,1.25,124,63,0.6032,2.0967,5.6628,61,0.6885,2.1046,7.5993
gap_fill,ZB,1.5,1.5,124,63,0.6032,2.0967,5.6628,61,0.6885,2.1046,7.5993
gap_fill,ZB,1.5,2.0,124,63,0.6032,2.0967,5.6628,61,0.6885,2.1046,7.5993
gap_fill,ZF,0.5,1.0,1889,1246,0.4928,0.2883,6.7871,643,0.5101,0.4063,6.8610
gap_fill,ZF,0.5,1.25,1170,756,0.5344,0.5394,8.7951,414,0.5459,0.6710,8.2891
gap_fill,ZF,0.5,1.5,723,436,0.5619,0.8026,8.6773,287,0.5819,0.9218,8.8889
gap_fill,ZF,0.5,2.0,336,182,0.5934,1.2919,7.1070,154,0.6234,1.3390,8.5080
gap_fill,ZF,0.75,1.0,723,436,0.5619,0.8026,8.6773,287,0.5819,0.9218,8.8889
gap_fill,ZF,0.75,1.25,723,436,0.5619,0.8026,8.6773,287,0.5819,0.9218,8.8889
gap_fill,ZF,0.75,1.5,723,436,0.5619,0.8026,8.6773,287,0.5819,0.9218,8.8889
gap_fill,ZF,0.75,2.0,336,182,0.5934,1.2919,7.1070,154,0.6234,1.3390,8.5080
gap_fill,ZF,1.0,1.0,336,182,0.5934,1.2919,7.1070,154,0.6234,1.3390,8.5080
gap_fill,ZF,1.0,1.25,336,182,0.5934,1.2919,7.1070,154,0.6234,1.3390,8.5080
gap_fill,ZF,1.0,1.5,336,182,0.5934,1.2919,7.1070,154,0.6234,1.3390,8.5080
gap_fill,ZF,1.0,2.0,336,182,0.5934,1.2919,7.1070,154,0.6234,1.3390,8.5080
gap_fill,ZF,1.5,1.0,87,47,0.6170,2.4146,4.3771,40,0.6000,1.9117,4.7277
gap_fill,ZF,1.5,1.25,87,47,0.6170,2.4146,4.3771,40,0.6000,1.9117,4.7277
gap_fill,ZF,1.5,1.5,87,47,0.6170,2.4146,4.3771,40,0.6000,1.9117,4.7277
gap_fill,ZF,1.5,2.0,87,47,0.6170,2.4146,4.3771,40,0.6000,1.9117,4.7277
