strategy,symbol,p_min_gap_atr,p_rr_target,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
gap_fill,ZN,0.5,1.0,16,12,0.5000,0.8333,1.3124,39.06,3.00,4,0.5000,0.5833,0.5981,27.34,3.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill,ZN,0.5,1.25,13,9,0.4444,1.0000,1.2054,46.88,3.00,4,0.5000,0.5833,0.5981,27.34,3.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill,ZN,0.5,1.5,12,9,0.4444,1.0000,1.2054,46.88,3.00,3,0.3333,0.3333,0.2500,15.62,3.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill,ZN,0.5,2.0,11,8,0.3750,0.9167,0.9794,42.97,3.00,3,0.3333,0.3333,0.2500,15.62,3.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill,ZN,0.75,1.0,16,12,0.5000,0.8333,1.3124,39.06,3.00,4,0.5000,0.5833,0.5981,27.34,3.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill,ZN,0.75,1.25,13,9,0.4444,1.0000,1.2054,46.88,3.00,4,0.5000,0.5833,0.5981,27.34,3.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill,ZN,0.75,1.5,12,9,0.4444,1.0000,1.2054,46.88,3.00,3,0.3333,0.3333,0.2500,15.62,3.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill,ZN,0.75,2.0,11,8,0.3750,0.9167,0.9794,42.97,3.00,3,0.3333,0.3333,0.2500,15.62,3.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill,ZN,1.0,1.0,15,11,0.5455,1.0000,1.4899,46.88,3.00,4,0.5000,0.5833,0.5981,27.34,3.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill,ZN,1.0,1.25,13,9,0.4444,1.0000,1.2054,46.88,3.00,4,0.5000,0.5833,0.5981,27.34,3.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
