strategy,symbol,p_range_max_pct,p_range_period,p_stop_atr_mult,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
range_mean_reversion,ZN,0.02,10.0,0.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.02,10.0,1.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.02,10.0,1.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.04,10.0,0.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.04,10.0,1.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.04,10.0,1.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.06,10.0,0.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.06,10.0,1.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.06,10.0,1.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.02,20.0,0.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.02,20.0,1.0,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.02,20.0,1.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
range_mean_reversion,ZN,0.04,20.0,0.5,0,,,,,,,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
