strategy,symbol,p_rsi_buy_below,p_rsi_exit_above,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
rsi2_extreme_reversion,ZN,5.0,60.0,288,228,0.2982,-0.2107,-2.2679,-6.99,3.66,60,0.3333,-0.2950,-2.1298,-10.16,3.28,0.000,-10.16,0.3333,-17.97,0.3333,-25.78,0.2167,-41.41,0.1167
rsi2_extreme_reversion,ZN,5.0,70.0,124,97,0.2680,-0.3009,-2.4176,-13.53,5.36,27,0.1852,-0.5228,-2.3740,-29.51,4.22,0.000,-29.51,0.1852,-37.33,0.1852,-45.14,0.1481,-60.76,0.1481
rsi2_extreme_reversion,ZN,5.0,80.0,20,16,0.1250,-0.7679,-4.4782,-82.03,9.88,4,0.2500,0.0833,0.0769,-35.16,5.50,0.000,-35.16,0.2500,-42.97,0.2500,-50.78,0.2500,-66.41,0.2500
rsi2_extreme_reversion,ZN,10.0,60.0,288,228,0.2982,-0.2107,-2.2679,-6.99,3.66,60,0.3333,-0.2950,-2.1298,-10.16,3.28,0.000,-10.16,0.3333,-17.97,0.3333,-25.78,0.2167,-41.41,0.1167
rsi2_extreme_reversion,ZN,10.0,70.0,124,97,0.2680,-0.3009,-2.4176,-13.53,5.36,27,0.1852,-0.5228,-2.3740,-29.51,4.22,0.000,-29.51,0.1852,-37.33,0.1852,-45.14,0.1481,-60.76,0.1481
rsi2_extreme_reversion,ZN,10.0,80.0,20,16,0.1250,-0.7679,-4.4782,-82.03,9.88,4,0.2500,0.0833,0.0769,-35.16,5.50,0.000,-35.16,0.2500,-42.97,0.2500,-50.78,0.2500,-66.41,0.2500
rsi2_extreme_reversion,ZN,15.0,60.0,288,228,0.2982,-0.2107,-2.2679,-6.99,3.66,60,0.3333,-0.2950,-2.1298,-10.16,3.28,0.000,-10.16,0.3333,-17.97,0.3333,-25.78,0.2167,-41.41,0.1167
rsi2_extreme_reversion,ZN,15.0,70.0,124,97,0.2680,-0.3009,-2.4176,-13.53,5.36,27,0.1852,-0.5228,-2.3740,-29.51,4.22,0.000,-29.51,0.1852,-37.33,0.1852,-45.14,0.1481,-60.76,0.1481
rsi2_extreme_reversion,ZN,15.0,80.0,20,16,0.1250,-0.7679,-4.4782,-82.03,9.88,4,0.2500,0.0833,0.0769,-35.16,5.50,0.000,-35.16,0.2500,-42.97,0.2500,-50.78,0.2500,-66.41,0.2500
rsi2_extreme_reversion,MNQ,5.0,60.0,795,571,0.4536,0.0435,0.5889,1.61,107.19,224,0.4152,-0.0442,-0.3624,-0.29,92.42,0.000,-0.29,0.4152,-0.54,0.4152,-0.79,0.4152,-1.29,0.4152
